starttime	ttime	endtime
1704062319.4206598	5.6743621826171875e-05	1704062319.4207165
1704062319.4207199	5.745887756347656e-05	1704062319.4207773
1704062319.4207807	5.7697296142578125e-05	1704062319.4208384
1704062319.4208417	5.888938903808594e-05	1704062319.4209006
1704062319.420904	5.793571472167969e-05	1704062319.4209619
1704062319.4209652	5.340576171875e-05	1704062319.4210186
1704062319.4210222	5.650520324707031e-05	1704062319.4210787
1704062319.4210818	4.839897155761719e-05	1704062319.4211302
1704062319.4211333	4.839897155761719e-05	1704062319.4211817
1704062319.4211845	4.673004150390625e-05	1704062319.4212313
1704062319.4212341	4.863739013671875e-05	1704062319.4212828
1704062319.4212854	4.7206878662109375e-05	1704062319.4213326
1704062319.4213352	4.863739013671875e-05	1704062319.4213839
1704062319.4213867	4.76837158203125e-05	1704062319.4214344
1704062319.4214373	4.8160552978515625e-05	1704062319.4214854
1704062319.421488	5.0067901611328125e-05	1704062319.421538
1704062319.421541	4.9114227294921875e-05	1704062319.42159
1704062319.4215925	4.792213439941406e-05	1704062319.4216404
1704062319.4216433	4.9591064453125e-05	1704062319.4216928
1704062319.4216957	5.030632019042969e-05	1704062319.421746
1704062319.4217486	5.698204040527344e-05	1704062319.4218056
1704062319.4218092	6.079673767089844e-05	1704062319.42187
1704062319.421873	6.222724914550781e-05	1704062319.4219353
1704062319.4219387	6.246566772460938e-05	1704062319.4220011
1704062319.4220045	5.936622619628906e-05	1704062319.4220638
1704062319.4220667	5.817413330078125e-05	1704062319.4221249
1704062319.422128	5.7697296142578125e-05	1704062319.4221857
1704062319.4221885	5.245208740234375e-05	1704062319.422241
1704062319.422244	5.435943603515625e-05	1704062319.4222984
1704062319.4223018	5.555152893066406e-05	1704062319.4223573
1704062319.4223604	5.4836273193359375e-05	1704062319.4224153
1704062319.4224186	5.4836273193359375e-05	1704062319.4224734
1704062319.4224765	6.270408630371094e-05	1704062319.4225392
1704062319.4225426	7.843971252441406e-05	1704062319.422621
1704062319.4226263	7.2479248046875e-05	1704062319.4226987
1704062319.4227016	5.435943603515625e-05	1704062319.422756
1704062319.4227586	5.316734313964844e-05	1704062319.4228117
1704062319.4228146	5.3882598876953125e-05	1704062319.4228685
1704062319.4228716	5.316734313964844e-05	1704062319.4229248
1704062319.4229276	4.982948303222656e-05	1704062319.4229774
1704062319.42298	4.410743713378906e-05	1704062319.4230242
1704062319.4230268	4.38690185546875e-05	1704062319.4230707
1704062319.4230733	4.506111145019531e-05	1704062319.4231184
1704062319.423121	4.482269287109375e-05	1704062319.4231658
1704062319.4231682	4.38690185546875e-05	1704062319.423212
1704062319.4232147	4.410743713378906e-05	1704062319.4232588
1704062319.4232614	4.5299530029296875e-05	1704062319.4233067
1704062319.423309	4.553794860839844e-05	1704062319.4233546
1704062319.4233572	4.649162292480469e-05	1704062319.4234037
1704062319.4234064	4.5299530029296875e-05	1704062319.4234517
1704062319.4234543	4.553794860839844e-05	1704062319.4234998
1704062319.4235024	4.8160552978515625e-05	1704062319.4235506
1704062319.4235532	4.887580871582031e-05	1704062319.423602
1704062319.4236052	4.9591064453125e-05	1704062319.4236548
1704062319.4236577	5.125999450683594e-05	1704062319.423709
1704062319.423712	4.601478576660156e-05	1704062319.423758
1704062319.423761	4.7206878662109375e-05	1704062319.423808
1704062319.4238107	4.744529724121094e-05	1704062319.4238582
1704062319.423861	5.173683166503906e-05	1704062319.4239128
1704062319.4239156	4.601478576660156e-05	1704062319.4239616
1704062319.4239647	4.6253204345703125e-05	1704062319.424011
1704062319.4240139	5.245208740234375e-05	1704062319.4240663
1704062319.4240694	4.863739013671875e-05	1704062319.424118
1704062319.424121	5.0067901611328125e-05	1704062319.424171
1704062319.4241738	4.982948303222656e-05	1704062319.4242237
1704062319.4242263	4.9114227294921875e-05	1704062319.4242754
1704062319.424278	4.863739013671875e-05	1704062319.4243267
1704062319.4243314	4.57763671875e-05	1704062319.4243772
1704062319.4243796	4.8160552978515625e-05	1704062319.4244277
1704062319.4244304	4.839897155761719e-05	1704062319.4244788
1704062319.4244814	4.8160552978515625e-05	1704062319.4245296
1704062319.424532	4.696846008300781e-05	1704062319.424579
1704062319.4245815	4.744529724121094e-05	1704062319.424629
1704062319.4246318	4.696846008300781e-05	1704062319.4246788
1704062319.4246814	4.9114227294921875e-05	1704062319.4247305
1704062319.4247334	4.839897155761719e-05	1704062319.4247818
1704062319.4247847	4.887580871582031e-05	1704062319.4248335
1704062319.4248364	4.792213439941406e-05	1704062319.4248843
1704062319.4248872	4.863739013671875e-05	1704062319.4249358
1704062319.4249387	4.792213439941406e-05	1704062319.4249866
1704062319.4249892	4.696846008300781e-05	1704062319.4250362
1704062319.425039	4.792213439941406e-05	1704062319.425087
1704062319.4250898	4.8160552978515625e-05	1704062319.425138
1704062319.4251406	4.744529724121094e-05	1704062319.425188
1704062319.425191	4.8160552978515625e-05	1704062319.425239
1704062319.425242	4.9591064453125e-05	1704062319.4252915
1704062319.4252942	4.839897155761719e-05	1704062319.4253426
1704062319.425345	4.8160552978515625e-05	1704062319.425393
1704062319.4253957	4.744529724121094e-05	1704062319.4254432
1704062319.4254458	4.744529724121094e-05	1704062319.4254932
1704062319.4254963	4.9114227294921875e-05	1704062319.4255455
1704062319.425548	4.863739013671875e-05	1704062319.4255967
1704062319.4255996	4.887580871582031e-05	1704062319.4256485
1704062319.4256513	4.887580871582031e-05	1704062319.4257002
1704062319.4257033	4.863739013671875e-05	1704062319.425752
1704062319.4257548	4.8160552978515625e-05	1704062319.425803
1704062319.4258056	4.839897155761719e-05	1704062319.425854
1704062319.425857	4.7206878662109375e-05	1704062319.4259043
1704062319.4259071	4.696846008300781e-05	1704062319.425954
1704062319.425957	4.76837158203125e-05	1704062319.4260046
1704062319.4260075	4.76837158203125e-05	1704062319.4260552
1704062319.426058	4.982948303222656e-05	1704062319.426108
1704062319.4261107	5.3882598876953125e-05	1704062319.4261646
1704062319.4261675	4.9591064453125e-05	1704062319.426217
1704062319.4262195	4.839897155761719e-05	1704062319.4262679
1704062319.4262705	4.9114227294921875e-05	1704062319.4263196
1704062319.4263227	6.031990051269531e-05	1704062319.426383
1704062319.4263859	4.744529724121094e-05	1704062319.4264333
1704062319.4264362	4.863739013671875e-05	1704062319.4264848
1704062319.4264874	7.271766662597656e-05	1704062319.4265602
1704062319.4265635	7.43865966796875e-05	1704062319.426638
1704062319.4266417	6.389617919921875e-05	1704062319.4267056
1704062319.426712	6.842613220214844e-05	1704062319.4267805
1704062319.4267838	6.866455078125e-05	1704062319.4268525
1704062319.426856	6.246566772460938e-05	1704062319.4269185
1704062319.4269261	7.700920104980469e-05	1704062319.4270031
1704062319.427007	6.461143493652344e-05	1704062319.4270716
1704062319.427075	5.91278076171875e-05	1704062319.427134
1704062319.4271376	5.817413330078125e-05	1704062319.4271958
1704062319.4271996	5.817413330078125e-05	1704062319.4272578
1704062319.4272614	5.8650970458984375e-05	1704062319.42732
1704062319.4273238	6.103515625e-05	1704062319.4273849
1704062319.4273882	5.507469177246094e-05	1704062319.4274433
1704062319.4274466	5.507469177246094e-05	1704062319.4275017
1704062319.4275048	5.412101745605469e-05	1704062319.427559
1704062319.4275625	5.555152893066406e-05	1704062319.427618
1704062319.4276214	5.602836608886719e-05	1704062319.4276774
1704062319.427681	5.459785461425781e-05	1704062319.4277356
1704062319.4277387	5.626678466796875e-05	1704062319.427795
1704062319.427798	5.8650970458984375e-05	1704062319.4278567
1704062319.4278603	6.0558319091796875e-05	1704062319.4279208
1704062319.4279242	5.793571472167969e-05	1704062319.427982
1704062319.4279857	5.745887756347656e-05	1704062319.4280431
1704062319.4280462	6.461143493652344e-05	1704062319.4281108
1704062319.4281144	6.437301635742188e-05	1704062319.4281788
1704062319.4281824	6.29425048828125e-05	1704062319.4282453
1704062319.428249	6.723403930664062e-05	1704062319.428316
1704062319.4283195	6.0558319091796875e-05	1704062319.42838
1704062319.4283838	6.103515625e-05	1704062319.4284449
1704062319.4284484	6.079673767089844e-05	1704062319.4285092
1704062319.428513	6.008148193359375e-05	1704062319.4285731
1704062319.4285767	5.7697296142578125e-05	1704062319.4286344
1704062319.428638	5.9604644775390625e-05	1704062319.4286976
1704062319.4287007	5.7697296142578125e-05	1704062319.4287584
1704062319.4287615	5.6743621826171875e-05	1704062319.4288182
1704062319.4288213	5.888938903808594e-05	1704062319.4288802
1704062319.428884	6.532669067382812e-05	1704062319.4289494
1704062319.4289536	6.461143493652344e-05	1704062319.4290183
1704062319.4290226	6.461143493652344e-05	1704062319.4290872
1704062319.4290907	6.437301635742188e-05	1704062319.429155
1704062319.4291592	6.270408630371094e-05	1704062319.4292219
1704062319.4292262	6.437301635742188e-05	1704062319.4292905
1704062319.4292946	8.130073547363281e-05	1704062319.429376
1704062319.4293816	9.274482727050781e-05	1704062319.4294744
1704062319.4294796	8.797645568847656e-05	1704062319.4295676
1704062319.4295726	8.535385131835938e-05	1704062319.429658
1704062319.4296627	8.58306884765625e-05	1704062319.4297485
1704062319.4297538	8.821487426757812e-05	1704062319.429842
1704062319.429847	8.58306884765625e-05	1704062319.4299328
1704062319.4299376	8.440017700195312e-05	1704062319.430022
1704062319.430027	8.678436279296875e-05	1704062319.4301138
1704062319.4301188	8.559226989746094e-05	1704062319.4302044
1704062319.4302099	8.535385131835938e-05	1704062319.4302952
1704062319.4303002	8.630752563476562e-05	1704062319.4303865
1704062319.4303913	8.940696716308594e-05	1704062319.4304807
1704062319.4304855	9.679794311523438e-05	1704062319.4305823
1704062319.4305882	0.00010132789611816406	1704062319.4306896
1704062319.4306965	0.00011348724365234375	1704062319.43081
1704062319.4308164	0.00010514259338378906	1704062319.4309216
1704062319.4309273	9.679794311523438e-05	1704062319.431024
1704062319.4310303	9.489059448242188e-05	1704062319.4311252
1704062319.4311306	9.894371032714844e-05	1704062319.4312296
1704062319.4312358	9.679794311523438e-05	1704062319.4313326
1704062319.4313424	8.416175842285156e-05	1704062319.4314265
1704062319.431432	7.128715515136719e-05	1704062319.4315033
1704062319.4315078	6.079673767089844e-05	1704062319.4315686
1704062319.4315722	6.0558319091796875e-05	1704062319.4316328
1704062319.4316359	6.151199340820312e-05	1704062319.4316974
1704062319.4317012	6.079673767089844e-05	1704062319.431762
1704062319.4317656	6.651878356933594e-05	1704062319.431832
1704062319.4318361	6.532669067382812e-05	1704062319.4319015
1704062319.4319053	6.771087646484375e-05	1704062319.431973
1704062319.431977	6.580352783203125e-05	1704062319.4320428
1704062319.4320464	5.91278076171875e-05	1704062319.4321055
1704062319.4321094	6.079673767089844e-05	1704062319.4321702
1704062319.4321828	6.723403930664062e-05	1704062319.43225
1704062319.4322538	6.914138793945312e-05	1704062319.432323
1704062319.4323268	6.079673767089844e-05	1704062319.4323876
1704062319.4323912	5.745887756347656e-05	1704062319.4324486
1704062319.4324517	6.079673767089844e-05	1704062319.4325125
1704062319.4325159	5.8650970458984375e-05	1704062319.4325745
1704062319.432578	5.936622619628906e-05	1704062319.4326375
1704062319.4326413	6.914138793945312e-05	1704062319.4327104
1704062319.432714	5.841255187988281e-05	1704062319.4327724
1704062319.4327757	6.175041198730469e-05	1704062319.4328375
1704062319.432841	6.651878356933594e-05	1704062319.4329076
1704062319.4329119	6.67572021484375e-05	1704062319.4329786
1704062319.4329824	6.747245788574219e-05	1704062319.43305
1704062319.433054	6.985664367675781e-05	1704062319.4331238
1704062319.433128	6.747245788574219e-05	1704062319.4331956
1704062319.4331992	6.628036499023438e-05	1704062319.4332654
1704062319.433269	6.151199340820312e-05	1704062319.4333305
1704062319.4333334	6.031990051269531e-05	1704062319.4333937
1704062319.4333975	5.888938903808594e-05	1704062319.4334564
1704062319.43346	5.984306335449219e-05	1704062319.4335198
1704062319.4335232	6.008148193359375e-05	1704062319.4335833
1704062319.4335868	6.008148193359375e-05	1704062319.433647
1704062319.4336503	6.127357482910156e-05	1704062319.4337115
1704062319.4337149	5.936622619628906e-05	1704062319.4337742
1704062319.4337778	6.318092346191406e-05	1704062319.433841
1704062319.4338453	5.91278076171875e-05	1704062319.4339044
1704062319.4339082	6.175041198730469e-05	1704062319.43397
1704062319.4339736	6.175041198730469e-05	1704062319.4340353
1704062319.4340386	5.91278076171875e-05	1704062319.4340978
1704062319.434101	5.841255187988281e-05	1704062319.4341595
1704062319.4341636	5.817413330078125e-05	1704062319.4342217
1704062319.4342256	6.0558319091796875e-05	1704062319.434286
1704062319.4342895	5.555152893066406e-05	1704062319.434345
1704062319.4343483	5.698204040527344e-05	1704062319.4344053
1704062319.434409	5.7220458984375e-05	1704062319.4344661
1704062319.4344695	6.29425048828125e-05	1704062319.4345324
1704062319.4345362	5.8650970458984375e-05	1704062319.4345949
1704062319.4345984	7.653236389160156e-05	1704062319.434675
1704062319.4346797	7.534027099609375e-05	1704062319.434755
1704062319.4347637	6.365776062011719e-05	1704062319.4348273
1704062319.434831	6.222724914550781e-05	1704062319.4348931
1704062319.4348965	6.0558319091796875e-05	1704062319.434957
1704062319.4349606	5.91278076171875e-05	1704062319.4350197
1704062319.435023	5.5789947509765625e-05	1704062319.4350789
1704062319.4350824	5.412101745605469e-05	1704062319.4351366
1704062319.4351397	5.2928924560546875e-05	1704062319.4351926
1704062319.4351957	5.53131103515625e-05	1704062319.435251
1704062319.4352543	5.626678466796875e-05	1704062319.4353106
1704062319.435314	5.459785461425781e-05	1704062319.4353685
1704062319.4353719	5.459785461425781e-05	1704062319.4354265
1704062319.4354296	5.435943603515625e-05	1704062319.435484
1704062319.4354873	5.4836273193359375e-05	1704062319.435542
1704062319.4355452	5.245208740234375e-05	1704062319.4355977
1704062319.435601	5.3882598876953125e-05	1704062319.4356549
1704062319.435658	5.435943603515625e-05	1704062319.4357123
1704062319.435716	5.5789947509765625e-05	1704062319.4357717
1704062319.4357748	5.412101745605469e-05	1704062319.435829
1704062319.4358323	5.53131103515625e-05	1704062319.4358876
1704062319.4358907	5.435943603515625e-05	1704062319.435945
1704062319.4359481	5.364418029785156e-05	1704062319.4360018
1704062319.4360049	5.269050598144531e-05	1704062319.4360576
1704062319.4360607	5.412101745605469e-05	1704062319.4361148
1704062319.4361174	5.7697296142578125e-05	1704062319.436175
1704062319.4361782	5.841255187988281e-05	1704062319.4362366
1704062319.43624	5.5789947509765625e-05	1704062319.4362957
1704062319.4362988	6.747245788574219e-05	1704062319.4363663
1704062319.4363697	5.745887756347656e-05	1704062319.436427
1704062319.4364305	5.9604644775390625e-05	1704062319.43649
1704062319.4364939	5.91278076171875e-05	1704062319.436553
1704062319.4365563	5.984306335449219e-05	1704062319.4366162
1704062319.4366205	5.888938903808594e-05	1704062319.4366794
1704062319.4366832	7.534027099609375e-05	1704062319.4367585
1704062319.4367652	6.67572021484375e-05	1704062319.436832
1704062319.436837	7.367134094238281e-05	1704062319.4369106
1704062319.436915	6.961822509765625e-05	1704062319.4369845
1704062319.4369886	6.723403930664062e-05	1704062319.4370558
1704062319.4370596	7.987022399902344e-05	1704062319.4371395
1704062319.437144	7.200241088867188e-05	1704062319.437216
1704062319.4372206	7.343292236328125e-05	1704062319.437294
1704062319.4372985	7.319450378417969e-05	1704062319.4373717
1704062319.437376	7.414817810058594e-05	1704062319.4374502
1704062319.437455	7.081031799316406e-05	1704062319.4375257
1704062319.43753	7.081031799316406e-05	1704062319.4376009
1704062319.437605	7.104873657226562e-05	1704062319.437676
1704062319.4376805	6.771087646484375e-05	1704062319.4377482
1704062319.4377532	7.82012939453125e-05	1704062319.4378314
1704062319.4378355	7.43865966796875e-05	1704062319.4379098
1704062319.4379146	7.462501525878906e-05	1704062319.4379892
1704062319.437993	6.771087646484375e-05	1704062319.4380608
1704062319.4380653	7.867813110351562e-05	1704062319.438144
1704062319.438149	7.152557373046875e-05	1704062319.4382205
1704062319.4382248	6.318092346191406e-05	1704062319.438288
1704062319.438292	7.081031799316406e-05	1704062319.4383628
1704062319.4383671	7.486343383789062e-05	1704062319.438442
1704062319.438446	9.036064147949219e-05	1704062319.4385364
1704062319.4385414	9.131431579589844e-05	1704062319.4386327
1704062319.4386375	7.271766662597656e-05	1704062319.4387102
1704062319.4387143	6.67572021484375e-05	1704062319.438781
1704062319.4387846	6.842613220214844e-05	1704062319.438853
1704062319.438857	6.67572021484375e-05	1704062319.4389238
1704062319.4389281	6.628036499023438e-05	1704062319.4389944
1704062319.4389982	5.6743621826171875e-05	1704062319.439055
1704062319.439058	5.698204040527344e-05	1704062319.439115
1704062319.4391189	6.0558319091796875e-05	1704062319.4391794
1704062319.439184	6.580352783203125e-05	1704062319.4392498
1704062319.439254	6.628036499023438e-05	1704062319.4393203
1704062319.4393241	6.67572021484375e-05	1704062319.439391
1704062319.439394	7.987022399902344e-05	1704062319.4394739
1704062319.439478	6.890296936035156e-05	1704062319.4395468
1704062319.4395516	6.532669067382812e-05	1704062319.439617
1704062319.4396205	6.29425048828125e-05	1704062319.4396834
1704062319.439687	6.127357482910156e-05	1704062319.4397483
1704062319.4397519	6.508827209472656e-05	1704062319.439817
1704062319.439821	6.914138793945312e-05	1704062319.4398901
1704062319.439894	7.2479248046875e-05	1704062319.4399664
1704062319.4399703	6.556510925292969e-05	1704062319.4400358
1704062319.4400396	7.081031799316406e-05	1704062319.4401104
1704062319.4401143	6.246566772460938e-05	1704062319.4401767
1704062319.4401808	6.031990051269531e-05	1704062319.440241
1704062319.4402447	6.246566772460938e-05	1704062319.4403071
1704062319.4403107	6.222724914550781e-05	1704062319.440373
1704062319.4403763	6.127357482910156e-05	1704062319.4404376
1704062319.440441	5.841255187988281e-05	1704062319.4404993
1704062319.4405022	5.841255187988281e-05	1704062319.4405606
1704062319.440564	5.7220458984375e-05	1704062319.4406211
1704062319.4406245	5.91278076171875e-05	1704062319.4406836
1704062319.440687	5.793571472167969e-05	1704062319.4407449
1704062319.4407485	5.6743621826171875e-05	1704062319.4408052
1704062319.4408088	5.698204040527344e-05	1704062319.4408658
1704062319.440869	5.6743621826171875e-05	1704062319.4409258
1704062319.440929	5.650520324707031e-05	1704062319.4409854
1704062319.4409888	5.7697296142578125e-05	1704062319.4410465
1704062319.44105	5.7220458984375e-05	1704062319.4411073
1704062319.4411118	6.151199340820312e-05	1704062319.4411733
1704062319.441177	5.7697296142578125e-05	1704062319.4412346
1704062319.441238	5.698204040527344e-05	1704062319.441295
1704062319.441298	5.650520324707031e-05	1704062319.4413545
1704062319.4413579	5.650520324707031e-05	1704062319.4414144
1704062319.4414177	5.745887756347656e-05	1704062319.4414752
1704062319.4414787	5.698204040527344e-05	1704062319.4415357
1704062319.441539	5.650520324707031e-05	1704062319.4415956
1704062319.4415987	5.7697296142578125e-05	1704062319.4416564
1704062319.4416597	5.602836608886719e-05	1704062319.4417157
1704062319.441719	5.5789947509765625e-05	1704062319.4417748
1704062319.441778	5.650520324707031e-05	1704062319.4418344
1704062319.4418378	5.888938903808594e-05	1704062319.4418967
1704062319.4419007	6.103515625e-05	1704062319.4419618
1704062319.4419653	6.413459777832031e-05	1704062319.4420295
1704062319.4420338	5.91278076171875e-05	1704062319.442093
1704062319.4420962	5.6743621826171875e-05	1704062319.442153
1704062319.4421566	5.602836608886719e-05	1704062319.4422126
1704062319.4422162	5.602836608886719e-05	1704062319.4422722
1704062319.4422758	6.461143493652344e-05	1704062319.4423404
1704062319.4423442	5.555152893066406e-05	1704062319.4423997
1704062319.442403	5.7220458984375e-05	1704062319.4424603
1704062319.4424636	6.389617919921875e-05	1704062319.4425275
1704062319.4425309	5.841255187988281e-05	1704062319.4425893
1704062319.4425926	6.794929504394531e-05	1704062319.4426606
1704062319.4426641	6.389617919921875e-05	1704062319.442728
1704062319.4427319	6.008148193359375e-05	1704062319.442792
1704062319.442795	5.555152893066406e-05	1704062319.4428506
1704062319.4428537	5.555152893066406e-05	1704062319.4429092
1704062319.4429123	5.555152893066406e-05	1704062319.442968
1704062319.4429712	5.6743621826171875e-05	1704062319.443028
